,year,sentence
0,1924,"Breakfasts at White House with group of Senators to discuss Cong plans, guests COOLIDGE ENTERTAINS LEADERS AT BREAKFAST; Curtis and 13 Others, Including Borah and Norris, Discuss Congress Plans With Him."
1,1924,Recalled from leave to explain ARMY AVIATOR RECALLED.; Summoned From Leave to Explain Flight Over City.
2,1924, EUROPE'S VIEW OF GERMANY; Italian Market Thinks Finance and Industry Restored to Normal.
3,1924,Arranges for redemption of bonds Marland Oil to Redeem Bonds.
4,1924,"Stark, M, shot; A Atkins held EX-BIG-LEAGUER KILLED.; "" Dolly"" Stark, Also Former Manager of Memphis Team, Shot."
5,1924,Goes to Southern France to recuperate from illness Cosgrave Goes to France to Rest.
6,1924,"Elected Sec-Treas of Assn of Natl Advertisers BOARD RAISES PAY OF 75,000 RAIL MEN; Grants 5 Per Cent. Increase to Western Enginemen Who Are Fighting Its Authority."
7,1924,"Annual Fall dinner MORTIMER SWEARS FORBES WAS BRIBED; Tells, as Witness, How He Gave $5,000 to Veterans' Bureau Head."
8,1924,"Between $200,000,000 and $300,000,000 paid by 114 corporations DIVIDENDS ARE PAID BY 114 CORPORATIONS; $200,000,000 to $300,000,000 Distributed -- Other Dividends Are Announced."
9,1924,"Increased activity BUSINESS IN WEST IN GOOD CONDITION; Industries Are Busier, With Mercantile Trade in Seasonal Goods Up to Mark."
10,1924, Allenby Reports Egypt Quiet.
11,1924,"Notre Dame played before 269,000 fans 269,000 SAW NOTRE DAME.; Team Played Before Great Throngs During Season Just Closed."
12,1924,"Schedule PENN STATE TO PLAY GEORGIA TECH HERE; Notre Dame, West Virginia and Michigan Aggies Also on 1925 Schedule."
13,1924, Musicale in C. H. Mackay's Home.
14,1924,"Counsel for Journal-Post of Kansas City defends publication, in argument on demurrer to indictment in Federal Court in Kansas City; counsel for publishers of N Y Herald Tribune enters plea of not guilty, in N Y C MISSOURI NEWSPAPER DEFENDS TAX PUBLICITY; Federal Judge Reeves to Announce Decision on Journal-Post Demurrers This Morning."
15,1924,Road races AWARD PICKENS CUP TO ALABAMA ELEVEN; 27 Writers Unanimous in Naming Birmingham Team for Southern Conference Football Honors.
16,1924,"Symposium on psycho-analysis; assails prohibition WHEELER FOR CURB ON ALCOHOL SUPPLY; Anti-Saloon League Counsel Says Collectors Let Spirits Escape to Bootleg Trade. PROHIBITION'S BIG PROBLEM Opposes Shift In Enforcement, Favors Cramton Bill, Sees Dry Law a Huge Success."
